Title,Description,Domain,Tech_Stack
"Medical Anomaly Screening from Chest Radiology X-Rays","An advanced healthcare diagnostics platform that leverages deep convolutional neural networks (CNNs) to analyze chest X-ray images and screen for common pulmonary anomalies such as pneumonia, tuberculosis, and pleural effusion with high accuracy. Includes a localized web app for radiologists.","Machine Learning","Python, PyTorch, FastAPI, React, Docker, OpenCV"
"Post-Quantum Cryptography for Secure IoT Wearables","An implementation and comparative performance analysis of NIST-approved lattice-based cryptographic algorithms (such as Crystals-Kyber) optimized for low-power microcontrollers and wearable IoT health trackers to resist future quantum computing threats.","Cyber Security","C++, RTOS, ESP32, Python, PyCrypto, Crystals-Kyber"
"Autonomous Mobile Robot Navigation using Deep Reinforcement Learning","A system for autonomous robot pathfinding and obstacle avoidance in complex dynamic indoor environments. Integrates deep Q-learning and policy gradient methods with ROS2 and Gazebo physics simulation.","IoT & Robotics","Python, ROS2, Gazebo, TensorFlow, C++, Lidar SDK"
"Decentralized E-Voting System with Multi-Factor Biometrics","A secure, verifiable, and tamper-proof electronic voting application built on an Ethereum-compatible private blockchain network. Integrates facial recognition and zero-knowledge proofs for absolute voter identity protection and anonymous ballot casting.","Cyber Security","Solidity, React, Node.js, Web3.js, Python, OpenCV"
"Real-Time Sign Language Translator using Computer Vision","A lightweight, accessible computer vision system that captures hand gestures using a standard web camera, translates them into text/speech in real-time, and supports bidirectionality using MediaPipe and LSTM neural networks.","Artificial Intelligence","Python, OpenCV, MediaPipe, TensorFlow, React, WebSockets"
"Smart Agriculture Leaf Disease and Soil Quality Monitor","An integrated hardware and software solution that monitors soil NPK nutrient levels, moisture, temperature, and uses on-edge computer vision to identify diseases on plant leaves, offering automated water and fertilizer recommendations.","IoT & Robotics","MicroPython, Raspberry Pi, PyTorch, Flask, InfluxDB, Flutter"
"Automated News Summarizer and Editorial Bias Analyzer","An AI-driven portal that aggregates news articles from diverse global publications, performs extractive/abstractive summarization, and computes sentiment and political bias scores using fine-tuned transformer models.","Artificial Intelligence","Python, HuggingFace Transformers, FastAPI, Next.js, PostgreSQL"
"Predictive Maintenance Framework for Industrial IoT Devices","An end-to-end telemetry pipeline that ingests high-frequency vibration, thermal, and electrical metrics from industrial machines, detecting pre-failure anomalies using isolation forests and LSTM autoencoders to prevent factory downtime.","Machine Learning","Python, TensorFlow, Apache Kafka, TimescaleDB, Grafana"
"Global Supply Chain Traceability and Audit Verification System","A blockchain-backed supply chain dashboard allowing enterprise users to log, track, and verify ethical sourcing, temperatures of perishable items in transit, and custodial transfers with automated smart-contract compliance.","Full-Stack Web Systems","React, Node.js, Solidity, Hardhat, MongoDB, Express"
"AI-Driven Smart Stock Portfolio Risk Profiler","A portfolio optimization tool that performs sentiment analysis on financial news feeds, indexes SEC filings, and uses modern portfolio theory (Markowitz) with LSTM-based stock trend predictions to recommend personalized asset allocations.","Machine Learning","Python, Pandas, Scikit-Learn, Next.js, TailwindCSS, Chart.js"
"IoT Water Quality Monitoring for Coastal Preservation","A network of floating solar-powered buoy sensors monitoring marine salinity, pH, turbidity, and dissolved oxygen. Transmits real-time environmental metrics over LoRaWAN to a centralized visualization dashboard.","IoT & Robotics","C++, Arduino, LoRaWAN, Node.js, Express, React, Leaflet.js"
"Intelligent Conversational Agent for Mental Health Support","A empathetic, non-diagnostic chatbot designed to provide cognitive behavioral therapy (CBT) exercises and daily mental wellness coaching. Features speech synthesis and emotion recognition using custom BERT-based text modeling.","Artificial Intelligence","Python, FastAPI, PyTorch, React, TailwindCSS, Web Speech API"
"Cloud-Native Threat Detection and Intrusion Prevention System","An enterprise network security solution that monitors system logs, API calls, and packet traffic across Kubernetes clusters to detect potential DDoS and privilege escalation attacks using real-time behavioral heuristic modeling.","Cyber Security","Go, Python, eBPF, Kubernetes, Prometheus, ELK Stack"
"Dynamic Multi-Tenant Final Year Project Management Portal","A rich collaborative web platform engineered for colleges to organize team registrations, supervisor assignments, milestone submittals, plagiarism vetting, and live presentation grading with interactive role-specific dashboards.","Full-Stack Web Systems","React, Node.js, Express, Mongoose, MongoDB, TailwindCSS, socket.io"
"Micro-expression Face Vetting and Interview Analytics Dashboard","A recruiting helper application that analyzes face micro-expressions, posture, eye contact, and speech rhythm during mock video interviews to generate objective body language and confidence feedback reports.","Artificial Intelligence","Python, OpenCV, PyFeat, Flask, React, Recharts"
"High-Performance Fiber Optic Dispersion Simulation","A scientific simulation tool designed to model electromagnetic wave propagation through single-mode fiber optic cables. Computes chromatic dispersion, polarization mode dispersion, and non-linear phase shifts using finite-difference time-domain (FDTD) solvers.","Photonics & Simulation","Python, NumPy, SciPy, Matplotlib, C++, WebAssembly"
"On-Chip Optical Interconnect Optical Router Design","An interactive CAD/modeling tool for designing and verifying silicon photonics optical routers. Simulates micro-ring resonator routing capabilities, thermal tuning sensitivities, and crosstalk power losses.","Photonics & Simulation","Python, Rust, WebAssembly, React, D3.js, Three.js"
"Decentralized Identity (DID) Wallet for Academic Credentials","A secure mobile application enabling graduates to store cryptographically verified, self-sovereign college degrees, transcripts, and professional certifications that can be instantly validated by employers without college intervention.","Cyber Security","React Native, Solidity, Ether.js, IPFS, Node.js"
"Smart Home Assistant and Edge-AI Surveillance Hub","A privacy-first domestic automation server running entirely on-premise. Connects local security cameras, executes real-time animal/human/package classification on edge TPU hardware, and manages smart appliances over Zigbee protocols.","IoT & Robotics","Python, Home Assistant Core, OpenCV, Zigbee2MQTT, Raspberry Pi 4"
"Automated Dental Pathology Screener from Panoramic X-Rays","An artificial intelligence tool trained to identify dental caries, periodontal bone loss, impacted third molars, and root-canal status from panoramic dental radiographs, generating draft clinical reports for practitioners.","Machine Learning","Python, PyTorch, OpenCV, Flask, Vue.js, SQLite"
"Collaborative Real-time Collaborative UI/UX Wireframing Suite","A lightweight vector-based online canvas designed for distributed design teams. Enables instantaneous multiplayer component drawing, grouping, comments, and interactive prototype linking with server-authoritative state synchronization.","Full-Stack Web Systems","React, Node.js, Express, Socket.io, HTML5 Canvas, TailwindCSS"
"Autonomous Drone Target Tracking and Following System","An drone software package enabling companion computer-equipped quadcopters to detect, lock onto, and safely track moving ground targets using computer vision algorithms without relying on GPS.","IoT & Robotics","C++, Python, PX4 Autopilot, ROS2, OpenCV, MAVSDK"
"Smart Electric Grid Consumption Profiler and Load Predictor","A utility-focused forecasting application that processes smart-meter energy consumption records and predicts aggregate grid demand peaks using gradient boosting regressors to help schedule clean energy sources.","Machine Learning","Python, XGBoost, InfluxDB, Next.js, Recharts, FastAPI"
"Zero-Trust Access Gateway with Biometric Continuous Authentication","A secure proxy gate that enforces continuous verification of a user's identity based on keystroke dynamics, mouse movement behaviors, and background face recognition, revoking active sessions dynamically upon anomalies.","Cyber Security","Go, React, WebSockets, Python, TensorFlow Lite, Redis"
"Laser-Induced Breakdown Spectroscopy (LIBS) Mineral Classifier","An analytical tool for mineral sorting and mineralogy grading. Processes emission spectra profiles captured by LIBS optical sensors and classifies mineral samples using support vector machines (SVM).","Photonics & Simulation","Python, Scikit-Learn, NumPy, Flask, React, TailwindCSS"
"Silicon Waveguide Bragg Grating Filter Optimizer","An evolutionary optimization program utilizing genetic algorithms to automatically design high-selectivity wavelength filters on silicon photonics chips. Calculates spectral transmission responses.","Photonics & Simulation","Python, SciPy, Rust, WebAssembly, React, Plotly"
